Altium Designer Pick and Place Locations
C:\Users\kykypi\AppData\Local\TempReleases\Snapshot\1\Assembly Standard\PickPlace\ME218 Ruler v1 XY_PickPlace.csv

========================================================================================================================
File Design Information:

Date:       05/09/25
Time:       17:09
Revision:   Not in VersionControl
Variant:    Standard
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"P9","HDR 06 POS 100mil 2.54mm","TopLayer","HDR_06_POS_100mil_2.54mm","4908.268","787.402","270","HDR 06 POS 100mil 2.54mm"
"U5","1655 NeoPixel 5050 RGB LED","TopLayer","ADA-RGB-1655_V","3464.567","1087.402","0","NeoPixel 5050 RGB LED with Integrated Driver Chip - 10 Pack"
"U6","1655 NeoPixel 5050 RGB LED","TopLayer","ADA-RGB-1655_V","3764.567","787.402","270","NeoPixel 5050 RGB LED with Integrated Driver Chip - 10 Pack"
"C4","Multilayer Ceramic Capacitor, 1 uF, 50 V, ± 10%, X7R, 0805","TopLayer","FP-GRM21B-0_15-IPC_B","2992.240","537.751","90","Multilayer Ceramic Capacitor, 1 uF, 50 V, ± 10%, X7R, 0805 [2012 Metric]"
"U4","1655 NeoPixel 5050 RGB LED","TopLayer","ADA-RGB-1655_V","3464.567","787.402","0","NeoPixel 5050 RGB LED with Integrated Driver Chip - 10 Pack"
"U3","1655 NeoPixel 5050 RGB LED","TopLayer","ADA-RGB-1655_V","3464.567","487.402","0","NeoPixel 5050 RGB LED with Integrated Driver Chip - 10 Pack"
"U2","1655 NeoPixel 5050 RGB LED","TopLayer","ADA-RGB-1655_V","3164.567","787.402","270","NeoPixel 5050 RGB LED with Integrated Driver Chip - 10 Pack"
"MH10","2.7mm hole","TopLayer","2.7mm_hole_(no_keepout)","2122.458","1248.829","0","2.7mm hole (no keepout) M2.5 tight"
"MH9","2.7mm hole","TopLayer","2.7mm_hole_(no_keepout)","1996.474","944.892","0","2.7mm hole (no keepout) M2.5 tight"
"MH8","2.7mm hole","TopLayer","2.7mm_hole_(no_keepout)","1796.474","683.868","0","2.7mm hole (no keepout) M2.5 tight"
"MH7","2.7mm hole","TopLayer","2.7mm_hole_(no_keepout)","1535.450","483.868","0","2.7mm hole (no keepout) M2.5 tight"
"MH6","2.7mm hole","TopLayer","2.7mm_hole_(no_keepout)","1231.513","357.884","0","2.7mm hole (no keepout) M2.5 tight"
"MH5","2.7mm hole","TopLayer","2.7mm_hole_(no_keepout)","905.529","314.970","0","2.7mm hole (no keepout) M2.5 tight"
"C3","Multilayer Ceramic Capacitor, 1 uF, 50 V, ± 10%, X7R, 0805","TopLayer","FP-GRM21B-0_15-IPC_B","7071.390","1500.000","0","Multilayer Ceramic Capacitor, 1 uF, 50 V, ± 10%, X7R, 0805 [2012 Metric]"
"C2","Multilayer Ceramic Capacitor, 1 uF, 50 V, ± 10%, X7R, 0805","TopLayer","FP-GRM21B-0_15-IPC_B","6947.515","621.703","0","Multilayer Ceramic Capacitor, 1 uF, 50 V, ± 10%, X7R, 0805 [2012 Metric]"
"C1","Multilayer Ceramic Capacitor, 1 uF, 50 V, ± 10%, X7R, 0805","TopLayer","FP-GRM21B-0_15-IPC_B","7277.013","1259.835","270","Multilayer Ceramic Capacitor, 1 uF, 50 V, ± 10%, X7R, 0805 [2012 Metric]"
"P17","S2B-PH-K-S(LF)(SN)","BottomLayer","JST-S2B-PH-K-S_V","95.882","1439.967","270","Header for PCB; pitch 2.00mm; 2-contacts; THT; male; side entry; 100V/2A"
"J2","ProtoPads","TopLayer","New_footprint_1","6195.268","660.881","0","Soldermask defined 27 x 7 SMT Pads Array Solder Mask Defined 50 mil and 25 mil pitch 0.7mm pad"
"J1","QWIIC JST CONNECTOR","TopLayer","SPARKFUN_PRT-14417","7399.700","1436.925","180","QWIIC JST CONNECTOR - SMD 4-PIN"
